PERMNO,date,TICKER,RET
84398,20160104,SPY,-0.013983
84398,20160105,SPY,0.001695
84398,20160106,SPY,-0.012614
84398,20160107,SPY,-0.023992
84398,20160108,SPY,-0.010961
84398,20160111,SPY,0.000974
84398,20160112,SPY,0.008072
84398,20160113,SPY,-0.024945
84398,20160114,SPY,0.016417
84398,20160115,SPY,-0.021466
84398,20160119,SPY,0.001331
84398,20160120,SPY,-0.012815
84398,20160121,SPY,0.005602
84398,20160122,SPY,0.020515
84398,20160125,SPY,-0.015117
84398,20160126,SPY,0.013643
84398,20160127,SPY,-0.010883
84398,20160128,SPY,0.005209
84398,20160129,SPY,0.024382
84398,20160201,SPY,-0.000365
84398,20160202,SPY,-0.018022
84398,20160203,SPY,0.005995
84398,20160204,SPY,0.001568
84398,20160205,SPY,-0.019050
84398,20160208,SPY,-0.013461
84398,20160209,SPY,0.000054
84398,20160210,SPY,-0.000863
84398,20160211,SPY,-0.013008
84398,20160212,SPY,0.020617
84398,20160216,SPY,0.016878
84398,20160217,SPY,0.016335
84398,20160218,SPY,-0.004096
84398,20160219,SPY,-0.000469
84398,20160222,SPY,0.014479
84398,20160223,SPY,-0.012630
84398,20160224,SPY,0.004576
84398,20160225,SPY,0.012112
84398,20160226,SPY,-0.002305
84398,20160229,SPY,-0.007838
84398,20160301,SPY,0.023507
84398,20160302,SPY,0.004492
84398,20160303,SPY,0.003894
84398,20160304,SPY,0.003279
84398,20160307,SPY,0.000798
84398,20160308,SPY,-0.010918
84398,20160309,SPY,0.004940
84398,20160310,SPY,0.000802
84398,20160311,SPY,0.016137
84398,20160314,SPY,-0.001282
84398,20160315,SPY,-0.001630
84398,20160316,SPY,0.005787
84398,20160317,SPY,0.006344
84398,20160318,SPY,0.003908
84398,20160321,SPY,0.001419
84398,20160322,SPY,-0.000537
84398,20160323,SPY,-0.006603
84398,20160324,SPY,-0.000439
84398,20160328,SPY,0.000591
84398,20160329,SPY,0.009254
84398,20160330,SPY,0.004384
84398,20160331,SPY,-0.002427
84398,20160401,SPY,0.006812
84398,20160404,SPY,-0.003238
84398,20160405,SPY,-0.009992
84398,20160406,SPY,0.010925
84398,20160407,SPY,-0.011966
84398,20160408,SPY,0.002693
84398,20160411,SPY,-0.002343
84398,20160412,SPY,0.009312
84398,20160413,SPY,0.010105
84398,20160414,SPY,0.000044
84398,20160415,SPY,-0.001106
84398,20160418,SPY,0.007023
84398,20160419,SPY,0.003158
84398,20160420,SPY,0.000953
84398,20160421,SPY,-0.005378
84398,20160422,SPY,0.000000
84398,20160425,SPY,-0.001723
84398,20160426,SPY,0.001482
84398,20160427,SPY,0.002062
84398,20160428,SPY,-0.009088
84398,20160429,SPY,-0.005383
84398,20160502,SPY,0.007945
84398,20160503,SPY,-0.008707
84398,20160504,SPY,-0.005574
84398,20160505,SPY,-0.000195
84398,20160506,SPY,0.003659
84398,20160509,SPY,0.000823
84398,20160510,SPY,0.012438
84398,20160511,SPY,-0.009355
84398,20160512,SPY,0.000291
84398,20160513,SPY,-0.008714
84398,20160516,SPY,0.009865
84398,20160517,SPY,-0.009330
84398,20160518,SPY,0.000289
84398,20160519,SPY,-0.003465
84398,20160520,SPY,0.006317
84398,20160523,SPY,-0.001363
84398,20160524,SPY,0.012962
84398,20160525,SPY,0.006783
84398,20160526,SPY,0.000287
84398,20160527,SPY,0.004299
84398,20160531,SPY,-0.001903
84398,20160601,SPY,0.002049
84398,20160602,SPY,0.003044
84398,20160603,SPY,-0.002987
84398,20160606,SPY,0.005088
84398,20160607,SPY,0.001561
84398,20160608,SPY,0.003260
84398,20160609,SPY,-0.001366
84398,20160610,SPY,-0.009478
84398,20160613,SPY,-0.007716
84398,20160614,SPY,-0.001963
84398,20160615,SPY,-0.001394
84398,20160616,SPY,0.002984
84398,20160617,SPY,-0.003703
84398,20160620,SPY,0.006440
84398,20160621,SPY,0.002839
84398,20160622,SPY,-0.001631
84398,20160623,SPY,0.013023
84398,20160624,SPY,-0.036431
84398,20160627,SPY,-0.017378
84398,20160628,SPY,0.018035
84398,20160629,SPY,0.017029
84398,20160630,SPY,0.013621
84398,20160701,SPY,0.002128
84398,20160705,SPY,-0.007197
84398,20160706,SPY,0.005998
84398,20160707,SPY,-0.000639
84398,20160708,SPY,0.014910
84398,20160711,SPY,0.003527
84398,20160712,SPY,0.007263
84398,20160713,SPY,-0.000140
84398,20160714,SPY,0.005583
84398,20160715,SPY,-0.001342
84398,20160718,SPY,0.002684
84398,20160719,SPY,-0.001013
84398,20160720,SPY,0.004140
84398,20160721,SPY,-0.003777
84398,20160722,SPY,0.004508
84398,20160725,SPY,-0.002716
84398,20160726,SPY,0.000462
84398,20160727,SPY,-0.001061
84398,20160728,SPY,0.001155
84398,20160729,SPY,0.001615
84398,20160801,SPY,-0.000829
84398,20160802,SPY,-0.006411
84398,20160803,SPY,0.002926
84398,20160804,SPY,0.001063
84398,20160805,SPY,0.008180
84398,20160808,SPY,-0.000596
84398,20160809,SPY,0.000596
84398,20160810,SPY,-0.002475
84398,20160811,SPY,0.004641
84398,20160812,SPY,-0.000869
84398,20160815,SPY,0.002884
84398,20160816,SPY,-0.005158
84398,20160817,SPY,0.001881
84398,20160818,SPY,0.002244
84398,20160819,SPY,-0.001462
84398,20160822,SPY,-0.000046
84398,20160823,SPY,0.002013
84398,20160824,SPY,-0.005115
84398,20160825,SPY,-0.000689
84398,20160826,SPY,-0.001883
84398,20160829,SPY,0.004928
84398,20160830,SPY,-0.001652
